name,email,department,designation,rank_title,qualification,status,office_hours,avatar_url
"Dr. A. S. Poornima",poornima@sitcoe.org.in,"Computer Science & Engineering","Professor & HOD","Professor","Ph.D in Computer Science & Engineering","ON CAMPUS","Mon-Fri 10:00 AM - 05:00 PM","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?auto=format&fit=crop&q=80&w=250"
"Prof. Veena K",veena@sitcoe.org.in,"Computer Science & Engineering","Associate Professor","Associate Professor","M.Tech in Software Engineering","ON CAMPUS","Mon-Fri 11:00 AM - 04:00 PM","https://images.unsplash.com/photo-1580489944761-15a19d654956?auto=format&fit=crop&q=80&w=250"
"Dr. S. R. Patil",srpatil@sitcoe.org.in,"Computer Science & Engineering","Professor","Professor","Ph.D in Distributed Systems & AI","IN LAB","Mon-Fri 09:30 AM - 04:30 PM","https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&q=80&w=250"
"Prof. R. M. Shinde",rmshinde@sitcoe.org.in,"Computer Science & Engineering","Assistant Professor","Assistant Professor","M.Tech in Computer Networks","IN MEETING","Mon-Fri 10:00 AM - 03:30 PM","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?auto=format&fit=crop&q=80&w=250"
"Prof. P. B. Kulkarni",pbkulkarni@sitcoe.org.in,"Artificial Intelligence & Data Science","Assistant Professor","Assistant Professor","M.Tech in Data Analytics","ON CAMPUS","Mon-Fri 10:30 AM - 04:30 PM","https://images.unsplash.com/photo-1560250097-0b93528c311a?auto=format&fit=crop&q=80&w=250"
"Dr. M. A. Deshmukh",madeshmukh@sitcoe.org.in,"Electronics & Telecommunication","Professor & HOD","Professor","Ph.D in VLSI Systems","ON CAMPUS","Mon-Fri 10:00 AM - 05:00 PM","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?auto=format&fit=crop&q=80&w=250"
"Prof. S. V. Joshi",svjoshi@sitcoe.org.in,"Mechanical Engineering","Assistant Professor","Assistant Professor","M.Tech in Thermal Engineering","OFF CAMPUS","Mon-Fri 11:00 AM - 04:00 PM","https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?auto=format&fit=crop&q=80&w=250"
"Prof. A. N. More",anmore@sitcoe.org.in,"Civil Engineering","Assistant Professor","Assistant Professor","M.Tech in Structural Engineering","ON CAMPUS","Mon-Fri 09:30 AM - 04:00 PM","https://images.unsplash.com/photo-1573497019940-1c28c88b4f3e?auto=format&fit=crop&q=80&w=250"
"Prof. K. T. Chavan",ktchavan@sitcoe.org.in,"Electrical Engineering","Assistant Professor","Assistant Professor","M.Tech in Power Systems","IN LAB","Mon-Fri 10:00 AM - 04:30 PM","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?auto=format&fit=crop&q=80&w=250"
"Prof. S. S. Mane",ssmane@sitcoe.org.in,"Computer Science & Engineering","Assistant Professor","Assistant Professor","M.Tech in Cyber Security","ON CAMPUS","Mon-Fri 10:00 AM - 04:00 PM","https://images.unsplash.com/photo-1544005313-94ddf0286df2?auto=format&fit=crop&q=80&w=250"
